Grade1,Grade2,PassFail
74.9816047538945,67.40531715354479,1
98.02857225639664,81.67603789513433,0
89.2797576724562,94.91783343505634,0
83.94633936788146,89.28899545638245,0
66.24074561769746,92.262445914458,1
66.2397808134481,86.35133466842869,1
62.323344486727976,87.6910625807141,1
94.6470458309974,93.96782606261277,1
84.04460046972835,69.98672035436743,1
88.32290311184181,79.57699854572562,1
60.823379771832094,68.8483776727841,1
98.79639408647978,99.50672031986588,0
93.29770563201687,97.76237358746454,1
68.49356442713105,61.57707245474023,0
67.27299868828402,88.22300690062754,0
67.33618039413736,97.00993269662663,1
72.1696897183815,67.22301380509334,1
80.99025726528951,82.71780922210517,0
77.27780074568463,96.61953190352168,0
71.64916560792167,61.35783914343195,1
84.47411578889518,87.8968106898736,1
65.57975442608168,71.89396029490203,0
71.68578594140872,96.97584781506121,1
74.65447373174767,98.84232980661471,1
78.24279936868143,97.77065956453735,1
91.40703845572054,78.96856866629855,0
67.98695128633439,94.48170603957254,0
80.56937753654447,93.7819759414028,0
83.6965827544817,72.76401892973023,1
61.858016508799906,93.1566189660271,1
84.30179407605753,61.480305388619705,0
66.82096494749166,83.85079513928213,0
62.60206371941118,69.20035349150812,0
97.95542149013333,64.82267543109116,1
98.62528132298237,63.078128065168364,0
92.33589392465845,87.8515510351256,0
72.18455076693482,73.59499855072265,1
63.90688456025536,88.99067086115046,1
87.36932106048627,62.614253631957695,1
77.60609974958405,72.61161351322441,0
64.88152939379115,81.5796516950135,1
79.80707640445081,91.62892659355855,1
61.375540844608736,72.7501001172828,0
96.37281608315129,85.03565505748037,1
70.35119926400068,95.43910992944748,0
86.50089137415928,84.63452752729218,0
72.46844304357644,69.31837899014535,1
80.80272084711243,60.97603126226152,1
81.86841117373119,94.80395495603719,1
67.39417822102108,60.850776434015486,1
98.78338511058234,94.98806690736798,1
91.00531293444459,81.15748536108848,1
97.57995766256757,97.56270794051585,0
95.79309401710594,91.95132943094661,0
83.9159991524434,99.9173644213335,1
96.87496940092467,74.0284726180684,0
63.53970008207678,90.68753155724508,1
67.83931449676581,76.07723654436968,0
61.80909155642152,79.19502481215636,0
73.01321323053057,85.1002185287348,0
75.54709158757927,94.94708456745354,1
70.85396127095584,99.36333876797181,0
93.14950036607718,90.73093655458072,1
74.27013306774357,76.71067128669335,0
71.23738038749524,76.85428009108281,0
81.70784332632994,89.50329206355566,0
65.63696899899051,69.55108583073209,0
92.08787923016159,64.41896452525579,0
62.98202574719083,74.18488630563107,1
99.47547746402068,71.48955966616327,1
90.8897907718663,71.85232481823961,0
67.9486272613669,69.3443100419964,0
60.220884684944096,61.68372758545448,0
92.61845713819336,60.714957389336554,0
88.27429375390469,99.50889558944127,1
89.1602867216395,77.1109253494345,0
90.85081386743784,75.37306588638727,1
62.96178606936361,87.1858913077228,0
74.33862914177091,68.73015551460257,1
64.63476238100519,97.99844735800902,0
94.52413703502374,91.45380057662209,0
84.93192507310232,63.57644009249038,1
73.23592099410597,76.70323103139714,0
62.54233401144094,95.16473230248658,0
72.4392928686265,97.7892808916564,0
73.00733288106989,78.69606044999479,1
89.18424713352256,84.53645556842831,0
85.50229885420853,66.681357843683,0
95.48850970305307,99.64674504547907,1
78.88859700647797,69.26686805533774,1
64.78376983753206,97.70927096540503,1
88.5297914889198,85.98586595969473,0
90.4314019446759,84.30947179515437,0
82.45108790277985,80.50754044066034,0
90.83868719818244,69.22679246871034,1
79.75182385457563,67.06112128022033,0
80.90931317527976,68.81944836280701,0
77.10164073434198,67.45753048577018,1
61.01676506976381,91.18337894267013,1
64.31565707973218,74.00501036666921,1
61.25716742746937,62.313707062535855,1
85.45641645055122,98.76410520563246,1
72.57423924305307,95.35143539853703,0
80.34282764658812,97.11009132780852,1
96.30265895704372,99.7963129058574,0
69.971689165955,66.95580996877949,0
76.41531692142519,75.84968075610635,1
90.22204554172194,90.32953902816365,1
69.15192661966489,87.8408247221517,1
63.07919639315172,66.1558362535942,0
71.59005811655072,92.6333249996247,1
66.44885149016018,68.97762287346643,1
97.18790609370292,68.95270459290492,1
92.32481518257669,81.47897691573654,1
85.33615026041694,83.71759739366813,1
94.85842360750871,83.20344831351244,0
92.14688307596458,63.65947349591019,0
67.46280235544144,95.09843450521521,0
95.70235993959912,70.62400170354825,1
81.57368967662603,65.18059685131217,1
92.2976062065625,95.54992319475909,1
95.84365199693973,98.22605992919014,0
72.72013899887456,94.48510469061802,1
64.40207698110707,92.38064298899512,1
69.11740650167766,86.20967922556088,1
77.08431154505026,82.03429482436557,0
92.72059063689971,63.479470396456406,1
94.42922333025373,76.33812852282794,0
